CodPais;Muertes;CasosReportados;Poblacion;Vacunas
BRA;181402;6901952;211049519;515827664
ARG;40766;1498160;44780675;116571595
COL;39053;1425774;50339443;90506612
BEL;17951;608001;11455519;29120974
CHL;15886;571919;18952035;66860038
ECU;13875;202110;17373657;39564195
CAN;13431;460743;37411038;99034734
CZE;9609;581079;10649800;18618084
BOL;9018;147150;11513102;16104540
BGD;7052;490533;163046173;362229859
BGR;5688;179449;7000039;4618931
CHN;4739;92021;1433783692;3516880717
AUT;4400;320036;8858775;20403676
BIH;3336;101117;3300998;1924950
HRV;2640;175886;4076246;5435966
DZA;2596;92102;43053054;15267442
ARM;2503;148682;2957728;2256919
DOM;2361;154692;10738957;16413338
AFG;1971;49273;38041757;22606931
AZE;1922;175874;10047719;13829360
CRI;1895;150947;5047561;13576935
BLR;1263;160295;9452409;22511000
ALB;1003;48530;2862427;3088966
DNK;941;109758;5806081;15116672
AUS;908;28031;25203200;68770769
CMR;443;25143;25876387;4880572
AGO;371;16188;31825299;27722924
COD;355;14512;86790568;18808671
BHR;348;89143;1641164;3476633
BLZ;195;9295;390351;511002
BHS;163;7674;389486;366359
CUB;137;9423;11333484;38217146
CIV;133;21680;25716554;25263932
CPV;110;11357;549936;859940
TCD;102;1770;15946882;9148883
COG;99;6049;5380504;833210
AND;79;7338;76177;157072
CYP;78;15101;875899;1858992
BFA;71;4030;20321383;7893609
CAF;63;4936;4745179;3342248
DJI;61;5728;973557;442199
ABW;46;5049;106310;217070
BEN;44;3090;11801151;4232541
BWA;37;12501;2303703;3171667
CUW;11;3624;163423;
BMU;9;431;62508;136759
COM;7;628;850891;835021
BRB;7;292;287021;381743
(en blanco);7;696;;
ATG;4;148;97115;136512
BES;3;173;25983;
BRN;3;152;433296;1293100
CYM;2;298;64948;151970
BDI;1;729;11530577;41538
VGB;1;76;30033;41453
DMA;0;87;71808;67647
AIA;0;10;14872;24864
BTN;0;438;763094;2011426
KHM;0;359;16486542;47723729
